Code,Name,Geography,Mid-2024,,,,,,,,Mid-2016,Mid-2015,Mid-2014,Mid-2013,Mid-2012,Mid-2011
E07000149,South Norfolk,Non-metropolitan District,"148,448",,,,,,,,"131,472","129,942","128,572","127,063","125,680","124,495"
E10000029,Suffolk,County,"786,231",,,,,,,,"747,783","744,501","740,175","734,875","732,697","730,133"
E07000200,Babergh,Non-metropolitan District,"97,033",,,,,,,,"89,584","89,391","88,999","88,420","88,144","87,901"
E07000244,East Suffolk,Non-metropolitan District,"249,664",,,,,,,,"241,807","240,479","239,929","239,921","239,607","239,946"
E07000202,Ipswich,Non-metropolitan District,"140,274",,,,,,,,"141,245","139,694","138,108","136,760","135,694","133,729"
E07000203,Mid Suffolk,Non-metropolitan District,"110,775",,,,,,,,"98,731","98,760","98,404","97,636","97,432","97,076"
E07000245,West Suffolk,Non-metropolitan District,"188,485",,,,,,,,"176,416","176,177","174,735","172,138","171,820","171,481"
E12000007,LONDON,Region,"9,089,736",,,,,,,,"8,743,651","8,659,545","8,547,192","8,438,987","8,320,767","8,204,407"
E09000007,Camden,London Borough,"216,943",,,,,,,,"221,024","221,032","221,095","221,348","219,647","220,087"
E09000001,City of London,London Borough,"15,111",,,,,,,,"7,737","7,668","7,567","7,537","7,514","7,412"
E09000012,Hackney,London Borough,"266,758",,,,,,,,"264,892","261,929","258,735","255,646","251,193","247,182"
E09000013,Hammersmith and Fulham,London Borough,"188,687",,,,,,,,"187,472","187,246","186,659","186,056","184,439","182,445"
E09000014,Haringey,London Borough,"263,850",,,,,,,,"276,262","272,938","268,901","265,054","259,312","255,540"
E09000019,Islington,London Borough,"223,024",,,,,,,,"220,620","218,255","214,986","212,604","208,762","206,285"
E09000020,Kensington and Chelsea,London Borough,"144,518",,,,,,,,"152,708","156,149","156,178","156,823","157,240","158,251"
E09000022,Lambeth,London Borough,"316,920",,,,,,,,"326,613","322,881","318,196","314,375","310,449","304,481"
E09000023,Lewisham,London Borough,"301,255",,,,,,,,"298,809","295,364","291,086","286,056","281,011","276,938"
E09000025,Newham,London Borough,"374,523",,,,,,,,"335,337","330,322","322,984","316,952","313,750","310,460"
E09000028,Southwark,London Borough,"314,786",,,,,,,,"306,720","304,048","299,685","297,868","293,078","288,717"
E09000030,Tower Hamlets,London Borough,"331,886",,,,,,,,"289,011","282,674","277,060","270,294","261,936","256,012"
E09000032,Wandsworth,London Borough,"337,655",,,,,,,,"326,413","322,658","319,898","316,810","312,262","307,710"
E09000033,Westminster,London Borough,"209,996",,,,,,,,"213,193","215,876","214,341","215,907","219,539","219,582"
E09000002,Barking & Dagenham,London Borough,"232,747",,,,,,,,"211,047","206,450","201,244","196,204","191,453","187,029"
E09000003,Barnet,London Borough,"405,050",,,,,,,,"382,925","377,826","373,853","368,611","363,260","357,538"
E09000004,Bexley,London Borough,"256,434",,,,,,,,"244,006","241,427","239,112","236,169","234,435","232,774"
E09000005,Brent,London Borough,"352,976",,,,,,,,"339,524","335,605","329,981","324,345","317,984","312,245"
E09000006,Bromley,London Borough,"335,319",,,,,,,,"327,701","325,653","321,800","318,582","314,663","310,554"
E09000008,Croydon,London Borough,"409,342",,,,,,,,"384,382","381,277","378,244","374,270","369,617","364,815"
E09000009,Ealing,London Borough,"385,985",,,,,,,,"362,163","359,144","354,660","350,650","344,834","339,314"
E09000010,Enfield,London Borough,"327,434",,,,,,,,"333,295","330,868","326,340","321,754","317,780","313,935"
E09000011,Greenwich,London Borough,"299,528",,,,,,,,"278,768","274,230","268,305","264,036","260,360","255,483"
E09000015,Harrow,London Borough,"270,724",,,,,,,,"257,317","255,308","251,618","247,018","243,800","240,499"
E09000016,Havering,London Borough,"276,274",,,,,,,,"254,487","250,449","246,771","242,550","239,946","237,927"
E09000017,Hillingdon,London Borough,"329,185",,,,,,,,"297,451","294,011","290,225","285,982","281,263","275,499"
E09000018,Hounslow,London Borough,"299,424",,,,,,,,"278,601","275,097","270,773","265,547","260,584","254,927"
E09000021,Kingston upon Thames,London Borough,"172,692",,,,,,,,"168,617","167,594","165,791","164,418","162,562","160,436"
E09000024,Merton,London Borough,"218,539",,,,,,,,"215,514","213,791","211,025","208,529","205,166","200,543"
